component,cumulative_explained_variance,eigenvalue,explained_variance_ratio
PC1,0.20664953632369476,2.766385904974027,0.20664953632369476
PC2,0.3664458367557742,2.1391687639204853,0.15979630043207943
PC3,0.5028945777134544,1.8266185371232184,0.1364487409576802
PC4,0.6201082244389452,1.5691212568901511,0.11721364672549084
PC5,0.6929306228877827,0.9748623694935791,0.0728223984488375
PC6,0.7569551450602555,0.8570865382112036,0.06402452217247283
PC7,0.8183782524505339,0.8222617942776802,0.06142310739027831
PC8,0.8673708214950817,0.6558560685130541,0.04899256904454785
PC9,0.9061921230232983,0.5196948576365668,0.038821301528216605
PC10,0.9315968398355515,0.3400890791218078,0.025404716812253193
PC11,0.9552740315399144,0.3169629633125246,0.023677191704362898
PC12,0.9678572820048547,0.16845005967224763,0.012583250464940288
PC13,0.9790221736615988,0.14946270608320594,0.01116489165674417
PC14,0.9876021726853655,0.11485914164772172,0.008579999023766757
PC15,0.9935331306330791,0.07939683176374578,0.005930957947713557
PC16,0.9987295611595552,0.06956382491999825,0.005196430526476128
PC17,0.9999143901620232,0.015861125606871126,0.0011848290024679595
PC18,1.0,0.0011460458770893537,8.560983797682434e-05
